CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Fut_no_green,Green Count,Total Stops,Service Coverage,SS_Ser Cov Future
Residential,1,SOM,SOMERSET,SOUTH,ESTABLISHED,1980s/1990s,{02806A31-BBDB-4153-8905-431F4A0A5D46},{59133DB6-F7A4-416F-9F19-8E6982787787},10:20.0,MODIFIED ATTRIBUTE,35:16.0,10523.42951,5491625.385,0.112511749,1,0,1,1.82E-07,0.029111364
Residential,1,SOC,SOUTH CALGARY,CENTRE,ESTABLISHED,INNER CITY,{28663525-0244-4694-8557-B69ED6AED8A1},{4FA42FC1-0FDC-468B-BB1E-C455F6601FB8},10:22.0,MODIFIED ATTRIBUTE,50:44.0,7727.55868,2241248.637,0.021649776,1,0,1,4.46E-07,0.071330196
Residential,1,SOV,SOUTHVIEW,EAST,ESTABLISHED,1950s,{2C22632F-1671-4AB1-A2E6-FA09436E9B21},{57545EB2-6551-4F57-8738-AEDD1E8BA2CB},10:17.0,MODIFIED ATTRIBUTE,54:40.0,9267.429922,4021927.895,0.259963211,3,0,3,7.46E-07,0.119247815
Residential,1,SOW,SOUTHWOOD,SOUTH,ESTABLISHED,1960s/1970s,{32512303-BA78-4A51-9E40-9B16EB2AF03D},{A0C690C1-7947-4978-B574-2308F224E699},10:29.0,MODIFIED ATTRIBUTE,59:01.0,10459.94592,6708100.312,0.346460734,2,0,2,2.98E-07,0.047664375
Residential,1,SPH,SPRINGBANK HILL,WEST,DEVELOPING,BUILDING OUT,{6D14CCD0-5509-4900-A80C-1D027C55983F},{F24DC505-6CA3-4D3B-A3CA-529AAB365250},10:19.0,CREATED,18:36.0,16450.5453,16429775.84,0.197827635,2,0,2,1.22E-07,0.01946085
Residential,1,SPR,SPRUCE CLIFF,WEST,ESTABLISHED,1950s,{7AB87529-2338-45BD-8516-C2FEE6864DA5},{60F3B140-0715-411E-8807-A87DBCF83C0B},10:08.0,MODIFIED ATTRIBUTE,14:28.0,7413.216171,2714735.978,0.020191831,1,0,1,3.68E-07,0.058889228
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,ESTABLISHED,1950s,{C8E67860-3361-44BC-9F58-96FD3E7E441C},{0030B14A-F367-404C-9469-F79DAF44BCAD},10:24.0,MODIFIED ATTRIBUTE,00:14.0,7843.549423,2933234.662,0.198792082,1,0,1,3.41E-07,0.054502528
Residential,1,STR,STRATHCONA PARK,WEST,ESTABLISHED,1980s/1990s,{BFB2D2E5-99EE-45AA-BB54-01F624195611},{D2E7850E-D244-48D9-9654-6BAC899B38C8},10:18.0,MODIFIED ATTRIBUTE,11:22.0,14522.58452,6836227.094,0,0,0,0,0,0
Residential,1,SNA,SUNALTA,CENTRE,ESTABLISHED,INNER CITY,{0CECE113-72D4-412A-9294-63D1A4599AF4},{C838B434-70DA-46B0-80C3-B2C8F1152EB6},10:14.0,MODIFIED ATTRIBUTE,03:57.0,7467.823989,2367595.659,0.239751445,3,0,3,1.27E-06,0.202570956
Residential,1,SDC,SUNDANCE,SOUTH,ESTABLISHED,1980s/1990s,{7A91E775-801D-42A2-9061-3ACBEC725DF3},{8F74A632-D62F-4B51-981F-674A6C60DEB9},10:20.0,MODIFIED ATTRIBUTE,52:19.0,14401.01111,9982548.5,0,0,0,0,0,0
Residential,1,SSD,SUNNYSIDE,CENTRE,ESTABLISHED,INNER CITY,{800FF21F-6329-46A4-90C0-4D2752BEA0FA},{6A1A9D1B-5343-4F71-9FAA-1105564A5B1B},10:17.0,MODIFIED ATTRIBUTE,26:20.0,9298.885345,2585003.772,0.152333028,1,0,1,3.87E-07,0.06184467
Residential,1,TAR,TARADALE,NORTHEAST,COMPLETE,2000s,{51E4E38F-02C6-4C83-9DB3-60566758D6D5},{AE5508A3-25AD-4DC1-9FFD-64E50D6B4D35},10:13.0,MODIFIED ATTRIBUTE,21:21.0,10899.22679,7208559.894,0.165888447,2,0,2,2.77E-07,0.044355241
Residential,1,TEM,TEMPLE,NORTHEAST,ESTABLISHED,1960s/1970s,{3D9AD539-24D7-4C4F-922C-8B67815BB26C},{E25A51DC-2525-4838-95F6-7E568936CE7A},10:15.0,MODIFIED ATTRIBUTE,02:53.0,10336.79995,6644996.403,0.259074746,3,0,3,4.51E-07,0.072175527
Residential,1,THO,THORNCLIFFE,NORTH,ESTABLISHED,1950s,{FEEFB48F-EC25-45C7-AF9F-3CB93793FB9F},{FD9A8EEB-58E4-4018-81EF-6D32601C937F},10:27.0,MODIFIED ATTRIBUTE,30:58.0,13095.90218,8280991.074,0,0,2,2,2.42E-07,0.038611008
Residential,1,TUS,TUSCANY,NORTHWEST,COMPLETE,2000s,{39FC203B-08CA-4D4E-ADC3-BEC50D34F243},{A53B0427-DAD2-4652-A12D-A364A583B5B4},43:04.0,MODIFIED ATTRIBUTE,27:17.0,18563.75701,17236127.37,0.099413783,1,0,1,5.80E-08,0.00927521
Residential,1,TUX,TUXEDO PARK,CENTRE,ESTABLISHED,INNER CITY,{1606A45F-8A88-43EC-900E-F699ED784053},{55F8D2F3-600F-4DD2-B5EC-3002BDB3098B},10:24.0,MODIFIED ATTRIBUTE,07:04.0,7873.915553,3360882.265,0.046700823,1,2,3,8.93E-07,0.142702445
