CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,GLOBALID,GLOBALID_GUID,CREATED_DT,MODIFIED_ACTION,MODIFIED_DT,Shape_Length,Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,Service Coverage,SS_Ser_Cov
Residential,1,GAG,GARRISON GREEN,WEST,ESTABLISHED,BUILDING OUT,{864C149B-8AAE-41FB-A11F-80C9C3265C8F},{C3E0A28D-9DEF-4011-A462-7A626FC3F4EA},10:08.0,MODIFIED ATTRIBUTE,08:33.0,4522.514930529326193,909215.840745765948668,0.113076556,2,2.1997E-06,0.434407018
Residential,1,GAW,GARRISON WOODS,CENTRE,ESTABLISHED,INNER CITY,{B3B8D5A7-6129-4D83-A041-968572F021F5},{1C87646D-4441-4DF5-8826-CB57A27A9361},10:36.0,MODIFIED ATTRIBUTE,47:12.0,6212.690984961123831,1961361.336415696889162,0.043656213,1,5.0985E-07,0.100687654
Residential,1,GLA,GLAMORGAN,WEST,ESTABLISHED,1950s,{4098109F-657C-468D-A18C-EF962341307C},{979CE135-47DD-4C8E-9EE5-09A4DA6544DE},10:14.0,MODIFIED ATTRIBUTE,26:30.0,9749.416325706479256,5128732.146837951615453,0.120255807,2,3.8996E-07,0.077011185
Residential,1,GBK,GLENBROOK,WEST,ESTABLISHED,1950s,{FC7ED636-6107-4A6E-B7D0-95FC9B1C6D39},{69DB5354-0BCA-40DD-8BB5-E48ABB55E6EF},10:23.0,MODIFIED ATTRIBUTE,05:20.0,9541.006353862196192,4950015.900873105041683,0.197834892,2,4.04039E-07,0.079791611
Residential,1,GDL,GLENDALE,WEST,ESTABLISHED,1950s,{32BC3283-7B61-4796-9CC8-6F7551B2CA1A},{6756033D-8FA7-4059-9C9A-1D3FFBA7F7E7},10:12.0,MODIFIED ATTRIBUTE,07:59.0,8392.687191123393859,3458135.917805402074009,0.268029694,2,5.78346E-07,0.114214638
Residential,1,GRV,GREENVIEW,CENTRE,ESTABLISHED,1960s/1970s,{572ED954-1CC0-4ACD-95DE-4DFDF48E7A14},{5E2CBE21-B8A9-4FDD-A3C6-059D38EDDC6D},10:33.0,MODIFIED ATTRIBUTE,38:32.0,6228.771975604860017,1149941.465519449906424,0,0,0,0
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,DEVELOPING,1960s/1970s,{2702E0CA-A69B-42CF-B09D-6A707D674EF6},{32159656-9BCA-4BAC-B919-3C1AE7880F2A},10:11.0,MODIFIED ATTRIBUTE,15:02.0,7845.409836018069655,3013985.929793685209006,0,0,0,0
Residential,1,HAM,HAMPTONS,NORTHWEST,ESTABLISHED,2000s,{43B461DA-9538-43E6-BF18-44EF22FD925E},{DE727865-7B12-499B-A2B3-A035E19BBD48},06:43.0,MODIFIED ATTRIBUTE,50:23.0,13189.658538182940902,8886383.129332765936852,0,0,0,0
Residential,1,HAR,HARVEST HILLS,NORTH,ESTABLISHED,1980s/1990s,{540A970B-53FE-431C-A82A-09D2F25A181A},{7EC6BBF0-EA01-4216-97F4-D5E2862882B5},10:01.0,MODIFIED ATTRIBUTE,54:24.0,10130.192278665499543,5530249.452268837951124,0,0,0,0
Residential,1,HAW,HAWKWOOD,NORTHWEST,ESTABLISHED,1980s/1990s,{ECEADEA5-7855-46CF-A1FE-3060ACC2B98C},{26F9DAD6-FAE2-46B8-ADEB-19F53C0E02F6},43:03.0,MODIFIED ATTRIBUTE,02:45.0,11757.383135308897181,8135581.451162537559867,0,0,0,0
Residential,1,HAY,HAYSBORO,SOUTH,ESTABLISHED,1950s,{CB884460-DD48-4440-9563-5CF00F6138F0},{8FD4739F-4CCB-4714-AC83-92B142372D23},10:27.0,MODIFIED ATTRIBUTE,56:45.0,10387.175325017153227,6725519.275559375062585,0.829468418,7,1.04081E-06,0.205544589
Residential,1,HID,HIDDEN VALLEY,NORTH,ESTABLISHED,1980s/1990s,{62D69A06-A259-4118-B56D-A5E6BD3FAF20},{48DC06D6-BEFF-4F81-AD49-C9A918057895},10:12.0,MODIFIED ATTRIBUTE,00:49.0,16397.724221314852912,10928451.554823804646730,0,0,0,0
Residential,1,HPK,HIGHLAND PARK,CENTRE,ESTABLISHED,1950s,{FDC6CDE3-9CE4-46B8-8CFC-FB58AEA2FB38},{4DF6E5D3-6F08-4787-88D5-E0E9BDF105EF},10:33.0,MODIFIED ATTRIBUTE,57:24.0,10569.376278131001527,3463308.347740492317826,0,0,0,0
Residential,1,HIW,HIGHWOOD,CENTRE,ESTABLISHED,1950s,{196EF973-6743-45E4-9BBB-567D082407D3},{EFB27757-37C8-4B62-977D-843F006F025E},10:13.0,MODIFIED ATTRIBUTE,16:23.0,6483.614867983073964,2404671.792955119628459,0,0,0,0
Residential,1,HIL,HILLHURST,CENTRE,ESTABLISHED,INNER CITY,{81CE8FA9-F759-4648-B695-191D75636458},{AB5D7C58-CE94-4709-9B02-215185A7DDCF},10:12.0,MODIFIED ATTRIBUTE,07:29.0,10737.819942283122145,5227596.940078919753432,0.567769513,5,9.56462E-07,0.188886857
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,ESTABLISHED,1950s,{5886BFBD-114B-499C-9123-0D8547005B37},{80EACA25-2A83-4A87-84AE-1BB86FFC2198},10:20.0,MODIFIED ATTRIBUTE,19:59.0,7487.074688438788144,2982779.283378322143108,0.463751035,3,1.00577E-06,0.198625026
Residential,1,HUN,HUNTINGTON HILLS,NORTH,ESTABLISHED,1960s/1970s,{E4428A24-8F83-4D85-9A20-323FB1A42306},{8FC9FCD6-4E35-4248-B675-C22DAF4B446D},10:33.0,MODIFIED ATTRIBUTE,47:41.0,16146.385220905116512,12089274.390120781958103,0,0,0,0
Residential,1,ING,INGLEWOOD,CENTRE,ESTABLISHED,INNER CITY,{C3CE4C28-57B4-402E-A173-6493D899DBF5},{7B340087-4651-4870-80AA-95D500F4D02B},10:19.0,MODIFIED ATTRIBUTE,09:58.0,15380.504793957275979,6316360.716674422845244,0.666352608,3,4.74957E-07,0.09379683
Residential,1,KEL,KELVIN GROVE,SOUTH,ESTABLISHED,1960s/1970s,{5DCA8FCF-50A8-4C9B-B864-D1D04D8437E7},{694EA379-76FF-40CA-9050-991F418943D9},10:02.0,MODIFIED ATTRIBUTE,34:02.0,5514.833918514772449,1941402.490421849535778,0.152347758,2,1.03018E-06,0.203445573
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,ESTABLISHED,1950s,{EC453B73-A2E9-4CA3-9AF0-A6EA41353F94},{78EEEC6E-36E4-49C9-AFC1-976CB8D6E960},10:31.0,MODIFIED ATTRIBUTE,54:23.0,8859.193482238340948,4657348.050408347509801,0.170268821,3,6.44143E-07,0.127208576
