route_id,route_long_name,trip_headsign,shape_id,shape_pt_lat,shape_pt_lon
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.910769,-114.070555
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.912119,-114.07053
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.912261,-114.070555
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.912404,-114.070523
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.913908,-114.070496
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.914296,-114.0705
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.91477,-114.070527
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.915243,-114.070575
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.915715,-114.070647
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.916149,-114.070733
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.916654,-114.070857
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.91712,-114.070997
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.918103,-114.071326
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.923691,-114.073199
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.923902,-114.07327
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.924459,-114.073457
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925046,-114.073654
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925276,-114.073723
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925438,-114.073763
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925636,-114.073793
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925738,-114.073801
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925791,-114.073802
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.925979,-114.073796
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.926088,-114.073785
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.926237,-114.073761
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.926374,-114.073728
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.926476,-114.073696
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.926641,-114.073635
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.92672,-114.0736
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.927032,-114.073448
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.929447,-114.072203
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.93017,-114.07181
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.930369,-114.071705
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.932888,-114.070407
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.933084,-114.070311
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.933349,-114.070197
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.933445,-114.07016
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.933693,-114.070069
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.933959,-114.069988
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.934211,-114.069927
201-20718,"Red Line - Somerset - Bridlewood/Tuscany CTrain",TUSCANY,2010472,50.934312,-114.069906
