,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
12,Canyon Meadows,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,11295,13.4,266400,0,23.58565737051793,0.0,0.05491655539540427
13,Capitol Hill,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,400,14.17926387376434,0,6370,15.925,0.012663873764338961,0.036935970836486955
14,Castleridge,193,8.9333,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,800,32.34101175662103,115800,6370,152.7125,0.3078117566210287,0.3579944768360337
15,Cedarbrae,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,25880,19.6007691494423,0,4875,0.1883693972179289,0.10076914944230056,0.0
16,Charleswood,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,830,13.4,266400,0,320.96385542168673,0.0,0.7529028478793344
17,Chinatown,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,10770,19.6007691494423,0,4875,0.45264623955431754,0.10076914944230056,0.0006202929958570682
18,Chinook Park,0,0.0,0,0.0,65,15.6923,0,0.0,75,9.75,0,0.0,5700,51.5038280752762,0,9100,1.5964912280701755,0.6192280752762066,0.003305049739769853
19,Christie Park,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7410,17.940386144737534,115800,0,15.62753036437247,0.0737861447375376,0.03623776992781617
20,Crescent Heights,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,6350,14.17926387376434,0,6370,1.0031496062992127,0.012663873764338961,0.0019123978188477406
21,Currie Barracks,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,12545,19.6007691494423,0,4875,0.38860103626943004,0.10076914944230056,0.00046997036196812914
22,Dalhousie,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,765,13.4,266400,0,348.2352941176471,0.0,0.8169125517205718
23,Douglas Glen,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,2000,31.681697187714754,0,4225,2.1125,0.29709718771475396,0.0045161911481474476
24,Downtown Commercial Core,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,127,20.5172,7435,61.31303826188085,0,13130,1.765971755211836,0.778638261880848,0.0037028431407759186
25,Downtown Commercial District,193,8.9333,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,4670,31.561747882856686,382200,0,81.84154175588866,0.29514788285668975,0.19165088569933886
26,Downtown West End,193,8.9333,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,2750,37.76251703229899,115800,4875,43.88181818181818,0.39591703229899033,0.10255435174084965
27,Eagle Ridge,0,0.0,0,0.0,0,0.0,0,0.0,75,9.75,0,0.0,6130,19.6007691494423,0,4875,0.7952691680261011,0.10076914944230056,0.0014244747049777147
28,East Village,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,5935,41.49090737431939,0,8255,1.3909014321819713,0.45650737431939525,0.0028225030690827027
29,Erlton,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,12500,13.4,266400,0,21.312,0.0,0.04957997830661075
30,Fairview,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,3595,31.681697187714754,0,4225,1.1752433936022253,0.29709718771475396,0.0023163248899858856
31,Falconridge,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,2250,14.17926387376434,0,6370,2.831111111111111,0.012663873764338961,0.006202867267880666
32,Forest Heights,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,1535,41.49090737431939,0,8255,5.37785016286645,0.45650737431939525,0.012180403483743019
