,Community,Blue Trips,Blue Freq,Red Trips,Red Freq,Green Trips,Green Freq,Teal Trips,Teal Freq,Orange Trips,Orange Freq,Yellow Trips,Yellow Freq,Purple Trips,Purple Freq,East Gray Trips,East Gray Freq,West Gray Trips,West Gray Freq,Future Brentwood Trips,Future Brentwood Freq,Future Tuscany Trips,Future Tuscany Freq,Population,Total Freq,Sum Train Capacity,Sum Bus Capacity,Capacity Index,SS Freq,SS Cap
47,Falconridge,0,0.0,0,0.0,0,0.0,0,0.0,98,7.0833,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6240,7.0833,0,6370,1.0208333333333333,0.0746305769058544,0.00091690496266696
48,Forest Heights,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,2275,20.5172,0,8255,3.6285714285714286,0.21617190751384183,0.0032591560655497306
49,Forest Lawn,193,8.9333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,127,20.5172,0,0.0,0,0.0,0,0.0,0,0.0,1275,29.450499999999998,115800,8255,97.29803921568627,0.3102943268202483,0.08739238042249199
50,Glamorgan,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,8530,78.4615,0,21125,2.4765533411488865,0.8266806446004963,0.0022244219253637764
51,Glenbrook,0,0.0,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,3795,78.4615,0,21125,5.566534914361001,0.8266806446004963,0.004999820559513309
52,Glendale,193,8.9333,0,0.0,0,0.0,65,15.6923,0,0.0,0,0.0,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,4910,87.3948,115800,21125,27.886965376782076,0.9208030639069027,0.025047866397740252
53,Greenwood/Greenbriar   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,625,0.0,0,0,0.0,0.0,0.0
54,Hamptons   ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4330,0.0,0,0,0.0,0.0,0.0
55,Harvest Hills,0,0.0,0,0.0,444,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12920,6.7,266400,0,20.61919504643963,0.07059207788308056,0.018520008748680976
56,Haysboro,0,0.0,444,6.7,0,0.0,65,15.6923,0,0.0,75,9.75,0,0.0,65,15.6923,65,15.6923,65,15.6923,65,15.6923,10795,94.9115,266400,26000,27.086614173228348,1.0,0.024328996856109345
